epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,74.2756,2.62873,3.83696,0.0122,0.04198,0.14072,0.05091,0.01622,2.62824,3.64591,0.01281,0.00011669,0.00011669,0.00011669
2,130.715,2.33965,3.62965,0.01034,0.04816,0.25962,0.06711,0.02843,2.23467,3.54247,0.01,0.000247575,0.000247575,0.000247575
3,188.015,2.03877,3.25353,0.00856,0.06344,0.34713,0.06962,0.02922,2.11565,3.41407,0.00922,0.000375818,0.000375818,0.000375818
4,255.961,1.97632,2.78071,0.0077,0.07889,0.42843,0.10683,0.04838,2.0261,3.18164,0.00885,0.000501422,0.000501422,0.000501422
5,317.074,1.92326,2.41817,0.0076,0.08091,0.46302,0.16821,0.08334,1.90151,2.90596,0.00793,0.000624385,0.000624385,0.000624385
6,371.39,1.92529,2.20112,0.00714,0.09163,0.53094,0.20021,0.09201,1.91524,2.77534,0.00805,0.000744707,0.000744707,0.000744707
7,430.03,1.82339,2.0545,0.00697,0.11146,0.62511,0.22372,0.09943,1.88911,2.61073,0.00788,0.000862389,0.000862389,0.000862389
8,488.234,1.82268,2.05358,0.00723,0.15979,0.59474,0.31263,0.15026,1.97659,2.4448,0.00803,0.00097743,0.00097743,0.00097743
9,544.735,1.78666,1.98833,0.00711,0.27953,0.41344,0.29297,0.13217,2.11651,2.36888,0.00854,0.00108983,0.00108983,0.00108983
10,608.58,1.75371,1.89778,0.00681,0.39648,0.42245,0.36211,0.18569,1.80739,2.24937,0.00723,0.00119959,0.00119959,0.00119959
11,693.014,1.77249,1.85244,0.0071,0.64942,0.33054,0.40195,0.20756,1.8089,2.3288,0.00722,0.00130671,0.00130671,0.00130671
12,762.073,1.77143,1.78163,0.00651,0.66673,0.25713,0.34872,0.15973,2.09903,2.28244,0.00854,0.00141119,0.00141119,0.00141119
13,821.568,1.76538,1.77412,0.00707,0.70105,0.28644,0.44928,0.22807,1.80651,2.18531,0.00759,0.00146896,0.00146896,0.00146896
14,887.137,1.78245,1.72717,0.00683,0.69598,0.23319,0.40305,0.20984,1.74398,2.26785,0.00704,0.00145246,0.00145246,0.00145246
15,952.381,1.76489,1.70464,0.00696,0.74169,0.29806,0.45832,0.24552,1.73766,2.17954,0.00734,0.00143595,0.00143595,0.00143595
16,1030.88,1.68054,1.6065,0.00613,0.60295,0.39758,0.4798,0.23596,1.79839,1.96165,0.00771,0.00141945,0.00141945,0.00141945
17,1097.82,1.70499,1.61512,0.00618,0.51109,0.37952,0.42528,0.19216,1.80915,1.98507,0.00788,0.00140295,0.00140295,0.00140295
18,1153.88,1.74174,1.61739,0.00643,0.50753,0.43046,0.4396,0.21435,1.76891,1.83331,0.00758,0.00138644,0.00138644,0.00138644
19,1212.68,1.6988,1.54466,0.00607,0.56884,0.49812,0.51759,0.27285,1.68105,1.65303,0.00701,0.00136994,0.00136994,0.00136994
20,1268.61,1.6352,1.5378,0.00591,0.65438,0.47458,0.55551,0.28609,1.70559,1.75464,0.00718,0.00135344,0.00135344,0.00135344
